State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,pollutant_clean
01,003,10,44201,1,30.497478,-87.880258,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2021,Parts per million,No Events,5573,99,Y,243,245,0,307,0.0,0.0,Certified,0,0.041786,0.010132,0.068,7/27/2021 15:00,0.067,8/2/2021 11:00,0.066,7/28/2021 15:00,0.063,6/15/2021 12:00,,,,,0.066,0.063,0.058,0.055,0.049,0.043,0.028,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",5/25/2024,Ozone
01,003,10,88101,1,30.497478,-87.880258,NAD83,PM2.5,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,0.0,0.0,Certified,0,7.268103,2.995173,15.4,7/27/2021 0:00,15.3,11/9/2021 0:00,14.6,9/7/2021 0:00,14.3,3/8/2021 0:00,,,,,15.3,14.6,14.0,11.6,8.8,6.5,4.3,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",10/16/2024,PM2.5
01,027,1,88101,1,33.284928,-85.803608,NAD83,PM2.5,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,110,90,Y,110,122,0,12,0.0,0.0,Certified,0,6.807273,3.373744,19.5,7/24/2021 0:00,18.2,8/2/2021 0:00,15.9,7/30/2021 0:00,14.8,5/25/2021 0:00,,,,,18.2,15.9,12.9,11.3,8.7,6.4,3.4,ASHLAND,ASHLAND AIRPORT,Alabama,Clay,Ashland,,5/17/2024,PM2.5
01,049,1003,88101,1,34.288567,-85.969858,NAD83,PM2.5,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,114,93,Y,114,122,0,8,0.0,0.0,Certified,0,7.742982,4.005018,24.5,7/24/2021 0:00,23.3,8/2/2021 0:00,17.8,1/13/2021 0:00,17.7,12/3/2021 0:00,,,,,23.3,17.8,16.2,12.2,9.5,6.8,4.1,CROSSVILLE,"13112 HWY.68 , CROSSVILLE AL. 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",5/17/2024,PM2.5
01,049,9991,42403,1,34.289001,-85.970065,NAD83,SO2,1 WEEK,,Observed Values,Nylon and cellulose CASTNET-style 3-stage filter pack - Ion Chromatography EPA Modified Method 300.0,2021,Micrograms/cubic meter (LC),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,0.374808,0.154462,0.794,3/2/2021 0:00,0.741,2/16/2021 0:00,0.633,1/12/2021 0:00,0.619,1/19/2021 0:00,,,,,0.794,0.741,0.633,0.586,0.485,0.352,0.209,Sand Mountain,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",9/19/2025,SO2
01,049,9991,44201,1,34.289001,-85.970065,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2021,Parts per million,No Events,8238,98,Y,241,245,0,522,0.0,0.0,Certified,0,0.044452,0.010132,0.069,4/12/2021 16:00,0.065,3/9/2021 16:00,0.065,4/20/2021 15:00,0.064,5/21/2021 17:00,,,,,0.065,0.064,0.06,0.057,0.052,0.047,0.039,Sand Mountain,"Sand Mountain Alabama Agricultural Experiment Station, Crossville, AL 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",5/25/2024,Ozone
01,051,4,44201,1,32.53568,-86.255193,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2021,Parts per million,No Events,5561,98,Y,241,245,0,319,0.0,0.0,Certified,0,0.039618,0.010752,0.075,6/15/2021 15:00,0.074,5/24/2021 15:00,0.065,4/13/2021 13:00,0.061,4/20/2021 14:00,,,,,0.065,0.06,0.057,0.053,0.048,0.04,0.026,Wetumpka Westside Technology Park,"3148 Elmore Road, Wetumpka, Alabama 36092",Alabama,Elmore,Wetumpka,"Montgomery, AL",5/26/2024,Ozone
01,055,10,88101,1,33.98821,-85.992556,WGS84,PM2.5,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2021,Micrograms/cubic meter (LC),No Events,87,71,N,87,122,0,25,0.0,0.0,Certified - QA issues identified,0,8.514943,4.389695,24.5,7/24/2021 0:00,21.1,8/2/2021 0:00,20.2,4/7/2021 0:00,17.6,5/25/2021 0:00,,,,,24.5,21.1,16.4,14.2,10.9,7.8,4.2,GADSDEN C. COLLEGE,"314 COLLEGE DRIVE, GADSDEN, AL 35902",Alabama,Etowah,Gadsden,"Gadsden, AL",5/17/2024,PM2.5
01,055,11,44201,1,33.904039,-86.053867,NAD83,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2021,Parts per million,No Events,5596,100,Y,244,245,0,284,0.0,0.0,Certified,0,0.042566,0.011254,0.079,8/4/2021 12:00,0.069,5/25/2021 16:00,0.067,3/9/2021 15:00,0.066,6/18/2021 15:00,,,,,0.067,0.065,0.059,0.055,0.05,0.044,0.027,SOUTHSIDE,"1450 PARKER ANDERSON LANE, SOUTHSIDE, AL 35907",Alabama,Etowah,Southside,"Gadsden, AL",5/26/2024,Ozone
01,073,23,42101,2,33.553056,-86.815,WGS84,CO,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2021,Parts per million,No Events,7934,91,Y,365,365,0,826,0.0,0.0,Certified,0,0.251424,0.138685,2.1,3/8/2021 7:00,2.0,9/5/2021 6:00,1.4,12/2/2021 18:00,1.4,12/2/2021 19:00,,,,,0.7,0.6,0.5,0.4,0.3,0.2,0.1,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",3/15/2022,CO
01,073,23,42401,2,33.553056,-86.815,WGS84,SO2,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2021,Parts per billion,No Events,7790,89,Y,319,365,0,970,0.0,,Certified,0,2.204389,2.684004,14.2,4/4/2021 7:00,13.9,5/1/2021 23:00,13.8,5/2/2021 1:00,13.3,4/5/2021 7:00,,,,,13.3,11.9,7.9,4.9,2.8,1.2,0.3,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",7/9/2025,SO2
01,073,23,42602,1,33.553056,-86.815,WGS84,NO2,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence,2021,Parts per billion,No Events,7653,87,Y,314,365,0,1107,0.0,,Certified,0,19.601911,8.520927,44.4,2/24/2021 18:00,40.0,2/23/2021 19:00,39.7,2/3/2021 18:00,39.6,3/8/2021 20:00,,,,,39.6,38.1,34.2,32.1,25.7,19.0,8.6,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",5/22/2024,NO2
